CODE,NAME
9432,ＮＴＴ(株)
8918,(株)ランド
1360,日経平均ベア2倍上場投信
4564,オンコセラピー・サイエンス(株)
5803,(株)フジクラ
8729,ソニーフィナンシャルグループ(株)
9434,ソフトバンク(株)
4597,ソレイジア・ファーマ(株)
6740,(株)ジャパンディスプレイ
8306,(株)三菱ＵＦＪフィナンシャル・グループ
9984,ソフトバンクグループ(株)
6659,(株)メディアリンクス
285A,キオクシアホールディングス(株)
8136,(株)サンリオ
9501,東京電力ホールディングス(株)
3656,ＫＬａｂ(株)
5016,ＪＸ金属(株)
5401,日本製鉄(株)
6613,(株)ＱＤレーザ
3350,(株)メタプラネット
6758,ソニーグループ(株)
7203,トヨタ自動車(株)
8316,(株)三井住友フィナンシャルグループ
7013,(株)ＩＨＩ
7011,三菱重工業(株)
7201,日産自動車(株)
186A,(株)アストロスケールホールディングス
4755,楽天グループ(株)
7267,ホンダ
6501,(株)日立製作所
8801,三井不動産(株)
6098,(株)リクルートホールディングス
1579,日経平均ブル2倍上場投信
8001,伊藤忠商事(株)
4689,ＬＩＮＥヤフー(株)
1459,楽天 ETF-日経ダブルインバース指数連動型
4005,住友化学(株)
7974,任天堂(株)
8411,(株)みずほフィナンシャルグループ
6723,ルネサスエレクトロニクス(株)
8750,(株)第一ライフグループ
4543,テルモ(株)
2181,パーソルホールディングス(株)
6993,大黒屋ホールディングス(株)
7012,川崎重工業(株)
3103,ユニチカ(株)
6762,ＴＤＫ(株)
6981,(株)村田製作所
7211,三菱自動車(株)
5020,ＥＮＥＯＳホールディングス(株)
